CALL_SIGN,VESSEL_NAME,AGENT_NAME,FLAG,ATD_TIME,NEXT_PORT,ATA_TIME,BERTH,LAST_PORT,CURRENT_LOCATION,VESSEL_MAX_DRAFT,PASI,SHIP_TYPE
3E4035,GREEN POWER,GULF AGENCY CO (HK) LTD,PANAMA,2025/05/16 01:12,GERALDTON,2025/05/15 19:07,SELA,"ZHUHAI, GD",W,7,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER
D5YE7,KMTC XIAMEN,KMTC (HK) CO LIMITED,LIBERIA,2025/05/16 20:32,"SHEKOU, SHENZHEN",2025/05/15 20:04,WA2,HO CHI MINH CITY,KC10,10,RCVD,CONTAINER
9V7936,DAPENG PRINCESS,INCHCAPE SHIPPING SERVICES (HK) LTD,SINGAPORE,2025/05/16 16:27,BINTULU,2025/05/15 20:30,SCCA,"OTHER, MALAYSIA",SCCA,7.5,RCVD,LIQUIFIED NATURAL GAS TANKER
3E5084,WIND ARROW,NS UNITED SHIPPING (HK) CO LIMITED,PANAMA,2025/05/16 19:35,"SHEKOU, SHENZHEN",2025/05/15 20:34,PSSA,KAOHSIUNG,PSSA,5.88,RCVD,GENERAL / HEAVY LIFT CARGO
3E7638,HONG DA XIN 758,CONCORD MARINE LIMITED,PANAMA,2025/05/15 21:12,"ZHUHAI, GD",2025/05/15 21:07,SWLA,"NANSHA, PANYU",W,7,RCVD,CONTAINER
HSB8290,ZIM THAILAND,ZIM INTEGRATED SHIPPING AGENCIES (HK) LIMITED,THAILAND,2025/05/16 16:56,"YANTIAN, SHENZHEN",2025/05/15 22:33,KC19,SINGAPORE,KC19,14.1,RCVD,CONTAINER
BKLG,EVER BASIS,EVERGREEN MARINE (HONG KONG) LTD,"TAIWAN, CHINA",2025/05/16 12:53,"SHEKOU, SHENZHEN",2025/05/15 23:23,KC10,QINGDAO,KC10,10.1,RCVD,CONTAINER
HSGF2,URU BHUM,REGIONAL CONTAINER LINES (HK) LTD,THAILAND,2025/05/16 16:00,"SHEKOU, SHENZHEN",2025/05/16 01:59,KC7,HO CHI MINH CITY,KC7,10,RCVD,CONTAINER
BOAM7,ZHONG GU DONG HAI,PENAVICO (HONG KONG) LIMITED,CHINA,2025/05/10 22:28,"NINGBO, ZJ",2025/05/10 15:49,KC6,"QINZHOU, GX",KC20,6.6,RCVD,CONTAINER
9V7846,WAN HAI 365,HYALINE SHIPPING (HK) CO LTD,SINGAPORE,2025/05/16 22:31,TOKYO,2025/05/16 04:14,KC7,SINGAPORE,KC7,9.7,RCVD,CONTAINER
9HA5926,CMA CGM BUZIOS,CMA CGM (HONG KONG) LIMITED,MALTA,2025/05/16 17:32,"SHANGHAI, SH",2025/05/16 04:29,KC9,SINGAPORE,KC9,11.1,RCVD,CONTAINER
3FOB4,HORAI BRIDGE,YANG MING LINE (HONG KONG) LTD,PANAMA,2025/05/16 13:54,KAOHSIUNG,2025/05/16 04:30,KC9,HO CHI MINH CITY,KC9,8.2,RCVD,CONTAINER
BPWN3,KONG QUE LAN,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,CHINA,2025/05/16 07:27,BANGKOK,2025/05/16 04:48,SLA,"OTHER, CHINA (COAST)",SLA,5.6,RCVD,"TANKER (CRUDE,FUEL,DIESEL,LUB)"
VRTT8,NICOLAI MAERSK,SINOTRANS (HK) SHIPPING LTD,"HONG KONG, CHINA",2025/05/10 03:06,KAOHSIUNG,2025/05/16 05:44,KC19,"NANSHAN, SHENZHEN",KC17,9.7,RCVD,CONTAINER
HO3256,KMTC NAGOYA,KMTC (HK) CO LIMITED,PANAMA,2025/05/16 17:59,"SHEKOU, SHENZHEN",2025/05/16 06:09,KC5,PUSAN,KC5,9.4,RCVD,CONTAINER
9V7800,EVER WIN,EVERGREEN MARINE (HONG KONG) LTD,SINGAPORE,2025/05/09 20:35,"SHEKOU, SHENZHEN",2025/05/16 06:32,PSSA,"SHANGHAI, SH",WL,8.2,RCVD,CONTAINER
9V6497,WAN HAI 326,HYALINE SHIPPING (HK) CO LTD,SINGAPORE,2025/05/16 17:58,"NANSHAN, SHENZHEN",2025/05/16 06:51,KC6,KAOHSIUNG,WA,9.7,RCVD,CONTAINER
9V9106,SEACON OSLO,WALLEM SHIPPING (HK) LTD,SINGAPORE,2025/05/16 14:44,"OTHER, VIETNAM",2025/05/16 07:39,SELA,NEWCASTLE,WL,13.9,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER
D7AP,WOORI SUN,"UNITRANS AGENCY HONG KONG CO., LIMITED",REPUBLIC OF KOREA,2025/05/16 11:40,OPEN SEA,2025/05/16 07:45,SELA,DUNG QUAT,WL,5.9,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER
D5DG9,HYUNDAI PREMIUM,HMM (HONG KONG) LIMITED,LIBERIA,2025/05/16 17:28,"SHANGHAI, SH",2025/05/16 07:52,KC2,SINGAPORE,PT,12.1,RCVD,CONTAINER
BPBY,XIN DAN DONG,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,CHINA,2025/05/16 16:05,"XINGANG, TIANJIN, TJ",2025/05/16 10:08,KC13,"OTHER, VIETNAM",S,8.8,RCVD,CONTAINER
3E5816,OCEANIC STAR,SHK AGENCY LIMITED,PANAMA,2025/05/16 22:23,BALIKPAPAN,2025/05/16 16:31,SWLA,HUIZHOUGANG,E,9,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER
TJM5208,MARIA 593,YIU LIAN DOCKYARDS LTD,CAMEROON,2025/05/17 00:37,INCHEON,2025/05/16 18:32,CMTY,INCHEON,S,3.5,RCVD,GENERAL / HEAVY LIFT CARGO
3FDM5,HOUYOSHI EXPRESS II,VASTON SHIPPING AGENCY LIMITED,PANAMA,2025/05/11 15:25,YANGPU,2025/05/10 00:43,PAFF,YANGPU,PAFF,7.6,RCVD,CHEMICAL
VRPS8,SILVER JOAN,GULF AGENCY CO (HK) LTD,"HONG KONG, CHINA",2025/05/16 08:36,SINGAPORE,2025/05/15 01:00,SLA,SINGAPORE,SLA,9.5,RCVD,"TANKER (CRUDE,FUEL,DIESEL,LUB)"
XVEQ7,HAIAN LINK,MEGATOP AGENCY LIMITED,VIETNAM,2025/05/11 09:28,"NANSHA, PANYU",2025/05/10 20:39,KC10,HAIPHONG,KC10,7.3,RCVD,CONTAINER
