VESSEL_NAME,BERTH,ETA,ASSIGNED_START,ESTIMATED_END,WAIT_TIME
SAN ANTONIO MAERSK,KC11,2025-05-10 07:00:00,2025-05-10 07:00:00,2025-05-10 23:00:00,0 days
NEW PEACE,SHELL,2025-05-10 08:00:00,2025-05-10 08:00:00,2025-05-10 16:00:00,0 days
STAR FRONTIER,KC6,2025-05-10 08:00:00,2025-05-10 08:00:00,2025-05-10 23:00:00,0 days
YONG SHUN,KC7,2025-05-10 08:00:00,2025-05-10 08:00:00,2025-05-10 20:00:00,0 days
MSC TARA III,SELA,2025-05-10 08:00:00,2025-05-10 08:00:00,2025-05-11 15:00:00,0 days
WAN HAI A01,WA3,2025-05-10 09:00:00,2025-05-10 09:00:00,2025-05-10 23:00:00,0 days
SANTA CRUZ I,KC9,2025-05-10 09:00:00,2025-05-10 09:00:00,2025-05-12 12:00:00,0 days
MSC SHAHAR,KC5,2025-05-10 10:00:00,2025-05-10 10:00:00,2025-05-10 22:00:00,0 days
XH DEEP COVER,SWLA,2025-05-10 12:00:00,2025-05-10 12:00:00,2025-05-11 01:00:00,0 days
ZHONG GU DONG HAI,KC10,2025-05-10 14:30:00,2025-05-10 14:30:00,2025-05-11 00:00:00,0 days
WOO JONG,SHELL,2025-05-10 18:00:00,2025-05-10 18:00:00,2025-05-11 04:00:00,0 days
JIAN RUI 7,SLA,2025-05-10 18:00:00,2025-05-10 18:00:00,2025-05-11 18:00:00,0 days
HUA HAI 21,KC19,2025-05-10 18:00:00,2025-05-10 18:00:00,2025-05-11 23:00:00,0 days
TONGYUN12,KC11,2025-05-10 23:00:00,2025-05-10 23:00:00,2025-05-11 14:00:00,0 days
LAN HAI FANG ZHOU,KC6,2025-05-10 23:00:00,2025-05-10 23:00:00,2025-05-11 13:00:00,0 days
AS ANNE,KC7,2025-05-10 23:00:00,2025-05-10 23:00:00,2025-05-12 14:00:00,0 days
WAN HAI 293,WA3,2025-05-10 23:00:00,2025-05-10 23:00:00,2025-05-11 12:00:00,0 days
CHUNRONG 803,KC5,2025-05-10 23:00:00,2025-05-10 23:00:00,2025-05-13 11:00:00,0 days
GEMINI PEARL,KC4,2025-05-11 01:00:00,2025-05-11 01:00:00,2025-05-13 08:21:00,0 days
KMTC BANGKOK,KC8,2025-05-11 02:00:00,2025-05-11 02:00:00,2025-05-11 22:00:00,0 days
GUO SHUN 28,SHELL,2025-05-11 04:00:00,2025-05-11 04:00:00,2025-05-11 15:00:00,0 days
MTT PELEPAS,KC10,2025-05-11 07:00:00,2025-05-11 07:00:00,2025-05-11 23:00:00,0 days
DE LONG,SWLA,2025-05-11 07:00:00,2025-05-11 07:00:00,2025-05-12 14:00:00,0 days
TS JOHOR,KC14,2025-05-11 07:30:00,2025-05-11 07:30:00,2025-05-11 09:24:00,0 days
AFRA ROSSI,CSWFM,2025-05-11 08:00:00,2025-05-11 08:00:00,2025-05-13 08:00:00,0 days
SC LIAONING,KC13,2025-05-11 09:00:00,2025-05-11 09:00:00,2025-05-14 23:59:00,0 days
AS COLUMBIA,KC16,2025-05-11 11:00:00,2025-05-11 11:00:00,2025-05-14 17:30:00,0 days
WAN HAI 295,KC11,2025-05-11 11:30:00,2025-05-11 11:30:00,2025-05-10 08:00:00,0 days
SUNFLYTE,KC11,2025-05-11 12:00:00,2025-05-11 12:00:00,2025-05-12 15:10:00,0 days
EVER CLEAR,KC11,2025-05-11 14:30:00,2025-05-11 14:30:00,2025-05-10 23:00:00,0 days
BERGE HENG SHAN,KC11,2025-05-11 15:00:00,2025-05-11 15:00:00,2025-05-12 15:00:00,0 days
GENCO RESOLUTE,SHELL,2025-05-11 17:00:00,2025-05-11 17:00:00,2025-05-12 18:53:00,0 days
WAN HAI 353,SELA,2025-05-11 20:00:00,2025-05-11 20:00:00,2025-05-12 08:00:00,0 days
ONE PARANA,WA3,2025-05-11 21:00:00,2025-05-11 21:00:00,2025-05-13 21:00:00,0 days
SKY CHALLENGE,KC6,2025-05-11 23:00:00,2025-05-11 23:00:00,2025-05-12 18:00:00,0 days
GUANG MAO,KC10,2025-05-11 23:00:00,2025-05-11 23:00:00,2025-05-12 23:00:00,0 days
HONG RUN 6,SLA,2025-05-11 23:30:00,2025-05-11 23:30:00,2025-05-12 18:00:00,0 days
DS EXPRESS 178,KC19,2025-05-11 23:59:00,2025-05-11 23:59:00,2025-05-12 09:00:00,0 days
LIAN YUN 9,KC8,2025-05-11 23:59:00,2025-05-11 23:59:00,2025-05-13 16:00:00,0 days
COSCO SHIPPING LOTUS,CMTY,2025-05-12 00:01:00,2025-05-12 00:01:00,2025-05-15 18:00:00,0 days
DONGJIN VOYAGER,KC2,2025-05-12 00:01:00,2025-05-12 00:01:00,2025-05-12 09:00:00,0 days
KMTC TIANJIN,KC12,2025-05-12 02:00:00,2025-05-12 02:00:00,2025-05-12 23:00:00,0 days
MARATHASSA,B04,2025-05-12 05:00:00,2025-05-12 05:00:00,2025-05-12 12:00:00,0 days
KOTA LEKAS,KC20,2025-05-12 06:00:00,2025-05-12 06:00:00,2025-05-12 18:00:00,0 days
