CALL_SIGN,LAST_PORT,VESSEL_MAX_DRAFT,FLAG,BERTH,CURRENT_LOCATION,AGENT_NAME,ETA_TIME,VESSEL_NAME,SHIP_TYPE,PASI,ETD_TIME,NEXT_PORT,weather_impact_pct,congestion_impact_pct,EFFECTIVENESS_SCORE,RELIABILITY_SCORE,WORK_ENV_SCORE
BPIU9,"DONGGUAN, GD",6.0,CHINA,SHELL,SHELL,S5 ASIA LIMITED,2025/05/14 17:00,HONG JING,LIQUIFIED PETROLEUM GAS TANKER,RCVD,2025/05/12 11:43,"DONGGUAN, GD",0.0,0.0,0.672,0.573,0.516
V7A6349,"NANSHA, PANYU",7.7,MARSHALL ISLANDS,KC6,KC6,T.S. LINES LIMITED,2025/05/14 17:00,TS SURABAYA,CONTAINER,RCVD,2025/05/15 10:11,"SHEKOU, SHENZHEN",26.85,19.07,0.83,0.515,0.531
3EUL8,KUANTAN,10.3,PANAMA,KC7,KC7,EVERGREEN MARINE (HONG KONG) LTD,2025/05/14 21:00,EVER BIRTH,CONTAINER,RCVD,2025/05/15 18:00,"YANTIAN, SHENZHEN",23.2,27.02,1.0,0.772,0.44
VRFQ5,"LUOYUAN, FJ",8.6,"HONG KONG, CHINA",SELA,SELA,SGS HONG KONG LIMITED,2025/05/14 22:00,OCEAN DUKE,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/15 22:00,PORT HEDLAND,23.9,24.81,0.653,0.836,0.681
V7PS7,SINGAPORE,11.5,MARSHALL ISLANDS,KC5,KC5,HMM (HONG KONG) LIMITED,2025/05/14 21:30,HYUNDAI FAITH,CONTAINER,RCVD,2025/05/15 08:00,QINGDAO,31.36,15.15,0.809,0.845,0.585
3FDY9,ULSAN,9.4,PANAMA,KC9,KC9,KMTC (HK) CO LIMITED,2025/05/14 21:30,KMTC GWANGYANG,CONTAINER,RCVD,2025/05/15 08:30,HO CHI MINH CITY,32.5,16.75,0.607,0.554,0.216
9HA5502,BUSAN,13.3,MALTA,SELA,S,CMA CGM (HONG KONG) LIMITED,2025/05/12 21:00,CMA CGM DIGNITY,CONTAINER,RCVD,2025/05/13 13:00,"NINGBO, ZJ",24.03,24.35,0.748,0.429,0.612
3E4122,"OTHER, CHINA (COAST)",6.9,PANAMA,SLA,SLA,INCHCAPE SHIPPING SERVICES (HK) LTD,2025/05/15 06:00,SHOKAI ,"TANKER (CRUDE,FUEL,DIESEL,LUB)",RCVD,2025/05/15 23:55,VUNGTAU,17.09,29.35,0.588,,0.66
9V6015,DANANG,9.7,SINGAPORE,KC19,KC,PENAVICO (HONG KONG) LIMITED,2025/05/15 01:00,MAERSK QINZHOU,CONTAINER,RCVD,2025/05/15 10:30,KEELUNG,24.88,20.77,1.0,0.482,0.977
3FXG8,"YANTIAN, GD",7.6,PANAMA,KC10,KC10,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,2025/05/14 07:00,FENGYUNHE,CONTAINER,RCVD,2025/05/15 13:00,"QINZHOU, GX",19.29,27.56,0.497,0.636,0.593
VRFO2,"SHANGHAI, SH",10.3,"HONG KONG, CHINA",KC19,WA,SINOTRANS (HK) SHIPPING LTD,2025/05/15 05:30,MAERSK NINGBO,CONTAINER,RCVD,2025/05/15 20:00,BRISBANE,18.25,31.47,0.763,0.851,0.366
VRVS3,SINGAPORE,11.5,"HONG KONG, CHINA",KC14,ELC,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,2025/05/15 09:00,COSCO SHIPPING BRAZIL,CONTAINER,RCVD,2025/05/16 10:00,"TIANJIN XINGANG, TJ",21.32,28.26,0.497,0.636,0.593
5LHO2,LAEM CHABANG,9.3,LIBERIA,KC4,PT,SINOTRANS (HK) SHIPPING LTD,2025/05/15 06:30,AVIOS,CONTAINER,RCVD,2025/05/15 15:00,"SHANGHAI, SH",11.79,39.4,0.763,0.851,0.366
VRAB8,"DALIAN, LN",9.8,"HONG KONG, CHINA",KC13,E,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,2025/05/15 06:00,CSCL ASIA,CONTAINER,RCVD,2025/05/15 18:00,"NINGBO, ZJ",13.58,39.59,0.497,0.636,0.593
BQXZ,"SHANTOU, GD",7.1,CHINA,CMTY,E,SINOTRANS (HK) SHIPPING LTD,2025/05/15 09:00,HAI SU 6,CONTAINER,RCVD,2025/05/15 15:00,"SHEKOU, SHENZHEN",12.0,43.84,0.763,0.851,0.366
V7A7425,MANILA,7.4,MARSHALL ISLANDS,KC7,E,T.S. LINES LIMITED,2025/05/15 09:00,TS PUSAN,CONTAINER,RCVD,2025/05/15 11:08,"XINGANG, TIANJIN, TJ",10.26,42.29,0.83,0.515,0.531
VRSL6,"NANSHA, PANYU",10.0,"HONG KONG, CHINA",KC2,S,WALLEM SHIPPING (HK) LTD,2025/05/15 08:30,LAUTOKA CHIEF,CONTAINER,RCVD,2025/05/15 22:00,LAE,15.97,35.06,0.993,0.722,0.758
3E4035,"ZHUHAI, GD",7.0,PANAMA,SELA,W,GULF AGENCY CO (HK) LTD,2025/05/15 14:30,GREEN POWER,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/16 09:00,GERALDTON,26.29,20.3,0.317,0.411,1.0
3E7638,"NANSHA, PANYU",7.0,PANAMA,SWLA,W,CONCORD MARINE LIMITED,2025/05/16 00:00,HONG DA XIN 758,CONTAINER,RCVD,2025/05/15 23:00,"ZHUHAI, GD",0.0,0.0,1.0,0.721,0.614
BOAM7,OPEN SEA,6.6,CHINA,KC6,S,PENAVICO (HONG KONG) LIMITED,2025/05/10 14:30,ZHONG GU DONG HAI,CONTAINER,RCVD,2025/05/11 00:00,HAIPHONG,24.48,24.0,1.0,0.482,0.977
VRTT8,"NANSHAN, SHENZHEN",9.05,"HONG KONG, CHINA",KC19,KC17,SINOTRANS (HK) SHIPPING LTD,2025/05/16 03:30,NICOLAI MAERSK,CONTAINER,RCVD,2025/05/16 14:30,KAOHSIUNG,18.41,29.97,0.763,0.851,0.366
