CALL_SIGN,VESSEL_NAME,AGENT_NAME,FLAG,NEXT_PORT,ETD_TIME,BERTH,LAST_PORT,CURRENT_LOCATION,VESSEL_MAX_DRAFT,PASI,SHIP_TYPE,ETA_TIME
3E4035,GREEN POWER,GULF AGENCY CO (HK) LTD,PANAMA,GERALDTON,2025/05/16 09:00,,"ZHUHAI, GD",W,7,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/15 14:30
D5YE7,KMTC XIAMEN,KMTC (HK) CO LIMITED,LIBERIA,"SHEKOU, SHENZHEN",2025/05/16 13:00,,HO CHI MINH CITY,KC10,10,RCVD,CONTAINER,2025/05/15 19:30
9V7936,DAPENG PRINCESS,INCHCAPE SHIPPING SERVICES (HK) LTD,SINGAPORE,BINTULU,2025/05/16 20:00,,"OTHER, MALAYSIA",SCCA,7.5,RCVD,LIQUIFIED NATURAL GAS TANKER,2025/05/12 10:00
3E5084,WIND ARROW,NS UNITED SHIPPING (HK) CO LIMITED,PANAMA,"SHEKOU, SHENZHEN",2025/05/16 20:00,,KAOHSIUNG,PSSA,5.88,RCVD,GENERAL / HEAVY LIFT CARGO,2025/05/15 19:00
3E7638,HONG DA XIN 758,CONCORD MARINE LIMITED,PANAMA,"ZHUHAI, GD",2025/05/15 23:00,,"NANSHA, PANYU",W,7,RCVD,CONTAINER,2025/05/16 00:00
HSB8290,ZIM THAILAND,ZIM INTEGRATED SHIPPING AGENCIES (HK) LIMITED,THAILAND,"YANTIAN, SHENZHEN",2025/05/16 15:00,,SINGAPORE,KC19,14.1,RCVD,CONTAINER,2025/05/15 20:30
BKLG,EVER BASIS,EVERGREEN MARINE (HONG KONG) LTD,"TAIWAN, CHINA","SHEKOU, SHENZHEN",2025/05/16 23:00,,QINGDAO,KC10,10.1,RCVD,CONTAINER,2025/05/15 23:30
HSGF2,URU BHUM,REGIONAL CONTAINER LINES (HK) LTD,THAILAND,"SHEKOU, SHENZHEN",2025/05/16 20:00,,HO CHI MINH CITY,KC7,10,RCVD,CONTAINER,2025/05/15 23:59
BOAM7,ZHONG GU DONG HAI,PENAVICO (HONG KONG) LIMITED,CHINA,"NINGBO, ZJ",2025/05/16 08:00,,"QINZHOU, GX",KC20,6.6,RCVD,CONTAINER,2025/05/16 00:30
9V7846,WAN HAI 365,HYALINE SHIPPING (HK) CO LTD,SINGAPORE,TOKYO,2025/05/16 19:30,,SINGAPORE,KC7,9.7,RCVD,CONTAINER,2025/05/15 18:00
9HA5926,CMA CGM BUZIOS,CMA CGM (HONG KONG) LIMITED,MALTA,"SHANGHAI, SH",2025/05/16 15:30,,SINGAPORE,KC9,11.1,RCVD,CONTAINER,2025/05/16 03:00
3FOB4,HORAI BRIDGE,YANG MING LINE (HONG KONG) LTD,PANAMA,KAOHSIUNG,2025/05/16 23:59,,HO CHI MINH CITY,KC9,8.2,RCVD,CONTAINER,2025/05/16 03:00
BPWN3,KONG QUE LAN,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,CHINA,BANGKOK,2025/05/17 03:00,,"OTHER, CHINA (COAST)",SLA,5.6,RCVD,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/15 18:00
VRTT8,NICOLAI MAERSK,SINOTRANS (HK) SHIPPING LTD,"HONG KONG, CHINA",KAOHSIUNG,2025/05/16 14:30,,"NANSHAN, SHENZHEN",KC17,9.7,RCVD,CONTAINER,2025/05/16 03:30
HO3256,KMTC NAGOYA,KMTC (HK) CO LIMITED,PANAMA,"SHEKOU, SHENZHEN",2025/05/16 18:00,,PUSAN,KC5,9.4,RCVD,CONTAINER,2025/05/16 05:00
9V7800,EVER WIN,EVERGREEN MARINE (HONG KONG) LTD,SINGAPORE,"SHEKOU, SHENZHEN",2025/05/16 15:00,,"SHANGHAI, SH",WL,8.2,RCVD,CONTAINER,2025/05/16 07:00
9V6497,WAN HAI 326,HYALINE SHIPPING (HK) CO LTD,SINGAPORE,"NANSHAN, SHENZHEN",2025/05/16 15:00,,KAOHSIUNG,WA,9.7,RCVD,CONTAINER,2025/05/16 02:30
9V9106,SEACON OSLO,WALLEM SHIPPING (HK) LTD,SINGAPORE,"OTHER, VIETNAM",2025/05/16 14:00,,NEWCASTLE,WL,13.9,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/16 05:00
D7AP,WOORI SUN,"UNITRANS AGENCY HONG KONG CO., LIMITED",REPUBLIC OF KOREA,OPEN SEA,2025/05/16 17:30,,DUNG QUAT,WL,5.9,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/16 08:00
D5DG9,HYUNDAI PREMIUM,HMM (HONG KONG) LIMITED,LIBERIA,"SHANGHAI, SH",2025/05/16 17:30,,SINGAPORE,PT,12.1,RCVD,CONTAINER,2025/05/16 06:30
BPBY,XIN DAN DONG,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,CHINA,"XINGANG, TIANJIN, TJ",2025/05/16 23:00,,"OTHER, VIETNAM",S,8.8,RCVD,CONTAINER,2025/05/16 08:00
3E5816,OCEANIC STAR,SHK AGENCY LIMITED,PANAMA,BALIKPAPAN,2025/05/17 15:09,,HUIZHOUGANG,E,9,RCVD,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/16 16:00
TJM5208,MARIA 593,YIU LIAN DOCKYARDS LTD,CAMEROON,INCHEON,2025/05/16 08:00,,INCHEON,S,3.5,RCVD,GENERAL / HEAVY LIFT CARGO,2025/05/16 18:00
3FDM5,HOUYOSHI EXPRESS II,VASTON SHIPPING AGENCY LIMITED,PANAMA,YANGPU,2025/05/11 15:00,,YANGPU,PAFF,7.6,RCVD,CHEMICAL,2025/05/16 18:00
