CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,LAST_PORT,AGENT_NAME,VESSEL_MAX_DRAFT,ATA_TIME,BERTH
V7A4532,CONSCIENCE,CONTAINER,MARSHALL ISLANDS,"XIAMEN, FJ",OCEANLINKS MARINE LIMITED,7.53,2025/05/15 18:23,CMTY
S9A3161,FILENE,"TANKER (CRUDE,FUEL,DIESEL,LUB)",SAO TOME & PRINCIPE,"OTHER, CHINA (COAST)","ZHONGXIN INTERNATIONAL GROUP CO., LIMITED",5,2025/05/15 18:56,SLA
3E4035,GREEN POWER,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,"ZHUHAI, GD",GULF AGENCY CO (HK) LTD,7,2025/05/15 19:07,SELA
D5YE7,KMTC XIAMEN,CONTAINER,LIBERIA,HO CHI MINH CITY,KMTC (HK) CO LIMITED,10,2025/05/15 20:04,WA2
9V7936,DAPENG PRINCESS,LIQUIFIED NATURAL GAS TANKER,SINGAPORE,"SHENZHEN, GD",INCHCAPE SHIPPING SERVICES (HK) LTD,7.5,2025/05/15 20:30,SCCA
3E5084,WIND ARROW,GENERAL / HEAVY LIFT CARGO,PANAMA,KAOHSIUNG,NS UNITED SHIPPING (HK) CO LIMITED,5.88,2025/05/15 20:34,PSSA
3EOC4,RAM COMMANDER,GENERAL / HEAVY LIFT CARGO,PANAMA,"DALIAN, LN",CGW LOGISTICS CO LIMITED,4.8,2025/05/15 20:34,SELA
3E8360,ORCHID LUNDU,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,"OTHER, JAPAN",WELLS MARINE AGENCIES,6.8,2025/05/15 20:38,PT
3E7638,HONG DA XIN 758,CONTAINER,PANAMA,"NANSHA, PANYU",CONCORD MARINE LIMITED,7,2025/05/15 21:07,SWLA
3E6736,HUI FENG HAI 16,GENERAL / HEAVY LIFT CARGO,PANAMA,"OTHER, CHINA (COAST)",CGW LOGISTICS CO LIMITED,8.1,2025/05/15 21:15,SWLA
3E7181,NEWNEW MOON,CONTAINER,PANAMA,"NANSHA, PANYU","UNITRANS AGENCY HONG KONG CO., LIMITED",8.5,2025/05/15 21:50,SWLA
VRLZ3,OOCL EGYPT,CONTAINER,"HONG KONG, CHINA",VUNGTAU,OOCL HONG KONG BRANCH,10.3,2025/05/15 21:55,KC13
3E3421,MAC GLORY,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,"GAOLAN, ZHUHAI",P. M. S. HONG KONG LIMITED,7.3,2025/05/15 22:11,SELA
