CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,AGENT_NAME,ATD_TIME,BERTH,NEXT_PORT
3E5348,SHENG HONG 12,GENERAL / HEAVY LIFT CARGO,PANAMA,TEXCO MARINE AGENCY LIMITED,2025/05/11 18:17,SWLA,SINGAPORE
BPIF2,SHENG HANG HUA 12,CHEMICAL,CHINA,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,2025/05/11 18:51,SLA,SINGAPORE
A8KS9,YM IMPROVEMENT,CONTAINER,LIBERIA,YANG MING LINE (HONG KONG) LTD,2025/05/11 18:56,KC8,LAEM CHABANG
9HA3146,DENSA HAWK,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MALTA,SK SHIPPING LIMITED,2025/05/11 19:09,PSSA,TOWNSVILLE
3E6888,HONG YI DA 9,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,MINDA SHIPPING (HONG KONG) LIMITED,2025/05/11 19:22,SELA,"QINZHOU, GX"
3ELS,GREEN CLARITY,CONTAINER,PANAMA,EVERGREEN MARINE (HONG KONG) LTD,2025/05/11 19:32,WA3,"SHEKOU, SHENZHEN"
BPRY,HUA HAI 21,"TANKER (CRUDE,FUEL,DIESEL,LUB)",CHINA,VASTON SHIPPING AGENCY LIMITED,2025/05/11 19:51,SINO,"HUANGPU, GD"
9V8604,MAERSK KEELUNG ,CONTAINER,SINGAPORE,PENAVICO (HONG KONG) LIMITED,2025/05/11 20:14,KC18,BATANGAS
3E5420,CELESTE ACE ,CAR CARRIER,PANAMA,MOL HONG KONG LIMITED,2025/05/11 20:27,KC16,"SHANGHAI, SH"
3E4766,KANG SHUN HUI HUANG,GENERAL / HEAVY LIFT CARGO,PANAMA,CGW LOGISTICS CO LIMITED,2025/05/11 20:35,SELA,"QINZHOU, GX"
D5ML2,KMTC BANGKOK,CONTAINER,LIBERIA,KMTC (HK) CO LIMITED,2025/05/11 20:57,KC9,HO CHI MINH CITY
3E2094,EVER OPUS,CONTAINER,PANAMA,EVERGREEN MARINE (HONG KONG) LTD,2025/05/11 21:05,KC10,"XINGANG, TIANJIN, TJ"
5LID5,MSC MAKALU III,CONTAINER,LIBERIA,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,2025/05/11 22:30,KC2,"FUZHOU, MAWEI, FJ"
9HA5951,CMA CGM IVANHOE,CONTAINER,MALTA,CMA CGM (HONG KONG) LIMITED,2025/05/11 22:37,LCS1,"SHEKOU, SHENZHEN"
VROA2,KELLETT ISLAND,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA",PENAVICO (HONG KONG) LIMITED,2025/05/11 23:13,SWLA,"NANSHA, PANYU"
VRTV9,EVER OCEAN,CONTAINER,"HONG KONG, CHINA",EVERGREEN MARINE (HONG KONG) LTD,2025/05/11 23:15,KC9,KAOHSIUNG
BPKJ,XIN WEN ZHOU,CONTAINER,CHINA,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,2025/05/12 00:04,KC12,"SHEKOU, SHENZHEN"
5BJW2,DIMITRIS A,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CYPRUS,OCEAN BASE CO LTD,2025/05/12 00:36,SELA,SINGAPORE
BQEA4,HUA YANG CHUAN QI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,BRIGHT CAPITAL SHIPPING CO LIMITED,2025/05/12 00:38,SWLA,TANJUNG BARA
2IEC6,BERGE HENG SHAN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,ISLE OF MAN,GULF AGENCY CO (HK) LTD,2025/05/12 00:46,SELA,PORT HEDLAND
9V6017,MAERSK XIAMEN,CONTAINER,SINGAPORE,SINOTRANS (HK) SHIPPING LTD,2025/05/12 01:45,KC20,"YANTIAN, SHENZHEN"
5LGW6,STEPHANIA K,CONTAINER,LIBERIA,OOCL HONG KONG BRANCH,2025/05/12 02:21,WA2,"SHEKOU, SHENZHEN"
3E6776,LONG SHENG 16,GENERAL / HEAVY LIFT CARGO,PANAMA,EAST HARBOUR NAVIGATION CO LTD,2025/05/12 02:27,PSSA,"OTHER, VIETNAM"
3E3381,V PACIFIC,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,PENAVICO (HONG KONG) LIMITED,2025/05/12 03:39,SWLA,"OTHER, PHILIPPINES"
5LNQ4,MSC MAGNITUDE VII,CONTAINER,LIBERIA,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,2025/05/12 04:12,KC5,"YANTIAN, SHENZHEN"
ELXX8,SANTA CRUZ I,"TANKER (CRUDE,FUEL,DIESEL,LUB)",LIBERIA,VASTON SHIPPING AGENCY LIMITED,2025/05/12 04:51,EMTY,SINGAPORE
3E3433,SEA GULL 18,CHEMICAL,PANAMA,CONCORD MARINE LIMITED,2025/05/12 04:55,SLA,SINGAPORE
3FXV9,GREAT WENMING,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,GRANDFAME SHIP MANAGEMENT LTD,2025/05/12 05:44,SELA,"OTHER, RUSSIAN"
9V8259,KOTA HAPAS,CONTAINER,SINGAPORE,PACIFIC INTERNATIONAL LINES (HK) LTD,2025/05/12 06:27,KC3,LAE
3E2605,DS EXPRESS 178,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,"UNITRANS AGENCY HONG KONG CO., LIMITED",2025/05/12 06:39,SWLA,OPEN SEA
D5TI7,HONG RUN 6,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,P. M. S. HONG KONG LIMITED,2025/05/12 06:41,SWLA,"OTHER, RUSSIAN"
9V7801,EVER WEB,CONTAINER,SINGAPORE,EVERGREEN MARINE (HONG KONG) LTD,2025/05/12 07:21,SELA,KAOHSIUNG
3E6682,CHANG SHENG JI 7,GENERAL / HEAVY LIFT CARGO,PANAMA,CONCORD MARINE LIMITED,2025/05/12 07:37,SELA,"ZHUHAI, GD"
3E4060,MARINA SOFIA,MULTI-PURPOSE(SEMI CONT.),PANAMA,PENAVICO (HONG KONG) LIMITED,2025/05/12 07:52,SWLA,LAE
9V7397,WAN HAI A02,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,2025/05/12 08:29,KC10,"NINGBO, ZJ"
9V7577,WAN HAI 511,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,2025/05/12 08:32,WA2,"SHEKOU, SHENZHEN"
D7SB,DONGJIN VOYAGER,CONTAINER,REPUBLIC OF KOREA,SINOTRANS (HK) SHIPPING LTD,2025/05/12 08:34,KC18,HAIPHONG
VRSC2,SITC TOKUYAMA,CONTAINER,"HONG KONG, CHINA",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,2025/05/12 09:58,CMTY,HAIPHONG
BG3675,HAI JI LI,FISHING,"TAIWAN, CHINA",ISM SHIPPING AGENT COMPANY,2025/05/12 10:50,CSWFM,KAOHSIUNG
VRNE7,OCEANA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA",WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,2025/05/12 10:56,SELA,OPEN SEA
9V7381,WAN HAI 353,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,2025/05/12 11:56,KC13,TAICHUNG
5LGM7,EVER ONWARD,CONTAINER,LIBERIA,EVERGREEN MARINE (HONG KONG) LTD,2025/05/12 12:27,KC12,"SHANGHAI, SH"
3E5352,SKY CHALLENGE,CONTAINER,PANAMA,"CK LINE (HONGKONG) CO., LIMITED",2025/05/12 12:28,KC11,"SHEKOU, SHENZHEN"
BRWT,GUANG MAO,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,SGS HONG KONG LIMITED,2025/05/12 13:22,SWLA,GERALDTON
VRGE3,OOCL LE HAVRE,CONTAINER,"HONG KONG, CHINA",OOCL HONG KONG BRANCH,2025/05/12 14:01,KC2,KAOHSIUNG
3E2779,DE LONG,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,TEXCO MARINE AGENCY LIMITED,2025/05/12 14:20,SWLA,SINGAPORE
9V2332,CHRISTA SCHULTE,CONTAINER,SINGAPORE,SINOTRANS (HK) SHIPPING LTD,2025/05/12 14:31,KC18,"YANTIAN, GD"
3E4662,GT HONOR,"TANKER (CRUDE,FUEL,DIESEL,LUB)",PANAMA,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,2025/05/12 14:50,SLA,SINGAPORE
3EKO7,GEMINI PEARL,CHEMICAL,PANAMA,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,2025/05/12 14:54,EMTY,"OTHER, VIETNAM"
3E6634,HAN HANG DA JIAN,OTHER,PANAMA,"ZHONGXIN INTERNATIONAL GROUP CO., LIMITED",2025/05/12 15:12,SELA,SINGAPORE
3FPF4,SAZANKA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,MOL HONG KONG LIMITED,2025/05/12 15:54,SWLA,OPEN SEA
