CALL_SIGN,VESSEL_NAME,SHIP_TYPE,ETA_TIME,FLAG,LAST_PORT,AGENT_NAME,PASI
D5DG9,HYUNDAI PREMIUM,CONTAINER,2025/05/16 06:30,LIBERIA,SINGAPORE,HMM (HONG KONG) LIMITED,RCVD
BQLJ,KUN JIE 01,OTHER,2025/05/16 07:00,CHINA,"SHENZHEN, GD",UNKNOWN AGENT,
9V7800,EVER WIN,CONTAINER,2025/05/16 07:00,SINGAPORE,"SHANGHAI, SH",EVERGREEN MARINE (HONG KONG) LTD,RCVD
3E5038,SUNNY LILAC,CONTAINER,2025/05/16 08:00,PANAMA,"NANSHA, PANYU",KMTC (HK) CO LIMITED,RCVD
3WNW,DONG BA,GENERAL / HEAVY LIFT CARGO,2025/05/16 08:00,VIETNAM,SAKAIDE,CGW LOGISTICS CO LIMITED,RCVD
9V2812,GFS GISELLE,CONTAINER,2025/05/16 08:00,SINGAPORE,"NINGBO, ZJ",BRIGHT CAPITAL SHIPPING CO LIMITED,RCVD
D7AP,WOORI SUN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/16 08:00,REPUBLIC OF KOREA,DUNG QUAT,"UNITRANS AGENCY HONG KONG CO., LIMITED",RCVD
BPBY,XIN DAN DONG,CONTAINER,2025/05/16 08:00,CHINA,"OTHER, VIETNAM",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,RCVD
VRGO7,OOCL JAKARTA,CONTAINER,2025/05/16 08:00,"HONG KONG, CHINA","NINGBO, ZJ",OOCL HONG KONG BRANCH,RCVD
VRJT8,COSCO EXCELLENCE,CONTAINER,2025/05/16 08:30,"HONG KONG, CHINA",VUNGTAU,OOCL HONG KONG BRANCH,RCVD
V7UP3,ONE MARVEL,CONTAINER,2025/05/16 08:30,MARSHALL ISLANDS,"SHEKOU, SHENZHEN",OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,RCVD
V7A6349,TS SURABAYA,CONTAINER,2025/05/16 08:30,MARSHALL ISLANDS,"SHEKOU, SHENZHEN",T.S. LINES LIMITED,RCVD
BLHE,YM INAUGURATION,CONTAINER,2025/05/16 08:30,"TAIWAN, CHINA","SHEKOU, SHENZHEN",YANG MING LINE (HONG KONG) LTD,RCVD
D7BH,PEGASUS TERA,CONTAINER,2025/05/16 09:00,REPUBLIC OF KOREA,HAIPHONG,NAMSUNG SHIPPING HONG KONG LIMITED,RCVD
9V8396,FOREVER DELIGHT,CHEMICAL,2025/05/16 09:00,SINGAPORE,"QUANZHOU, FJ",MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,RCVD
BQXZ,HAI SU 6,CONTAINER,2025/05/16 09:30,CHINA,"SHEKOU, SHENZHEN",SINOTRANS (HK) SHIPPING LTD,RCVD
BH3521,SHUN TAI HENG NO.2,FISHING,2025/05/16 09:30,"TAIWAN, CHINA",HSING TA KANG,ISM SHIPPING AGENT COMPANY,
