CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,AGENT_NAME,CURRENT_LOCATION,ETD_TIME,NEXT_PORT
VRTE8,CUL HAIPHONG,CONTAINER,"HONG KONG, CHINA","UNITRANS AGENCY HONG KONG CO., LIMITED",,2025/05/17 07:00,"NANSHA, PANYU"
BPDT,SHI DAI 1,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,PENAVICO (HONG KONG) LIMITED,WL,2025/05/17 07:00,SINGAPORE
3FHN5,BROTHER 36,GENERAL / HEAVY LIFT CARGO,PANAMA,Y & W SHIPPING COMPANY LIMITED,SWLA,2025/05/17 08:00,"SONGXIA, CN"
3E8629,EAGLE SPRING ,MULTI-PURPOSE(SEMI CONT.),PANAMA,CONCORD MARINE LIMITED,NWLA,2025/05/17 09:00,"OTHER, JAPAN"
BHLT,WAN HAI 272,CONTAINER,"TAIWAN, CHINA",HYALINE SHIPPING (HK) CO LTD,KC6,2025/05/17 09:00,LAEM CHABANG
A8AP2,ZHEN HUA 36,GENERAL / HEAVY LIFT CARGO,LIBERIA,YIU LIAN DOCKYARDS LTD,WL,2025/05/17 09:00,KAOHSIUNG
VRSC2,SITC TOKUYAMA,CONTAINER,"HONG KONG, CHINA",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,CMTY,2025/05/17 10:00,"NINGBO, ZJ"
VRWW5,XIN XIN HAI 2,MULTI-PURPOSE(SEMI CONT.),"HONG KONG, CHINA","UNITRANS AGENCY HONG KONG CO., LIMITED",,2025/05/17 10:00,OPEN SEA
VRFH4,GRAND ASANO,GENERAL / HEAVY LIFT CARGO,"HONG KONG, CHINA",PROSPERITY STEAMSHIP CO LTD,PSSA,2025/05/17 12:00,TSUKUMI
VRWE8,OOCL AMERICA,CONTAINER,"HONG KONG, CHINA",OOCL HONG KONG BRANCH,KC8,2025/05/17 12:00,"XIAMEN, FJ"
9V6500,WAN HAI 329,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,KC7,2025/05/17 12:00,"SHEKOU, SHENZHEN"
3E7515,JIANG XIA FU,GENERAL / HEAVY LIFT CARGO,PANAMA,CGW LOGISTICS CO LIMITED,WL,2025/05/17 12:00,"CAILAN, VIETNAM"
9HA4040,COSCO HELLAS,CONTAINER,MALTA,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,KC14,2025/05/17 12:00,"NINGBO, ZJ"
S6SS,KOTA RAJA,CONTAINER,SINGAPORE,PACIFIC INTERNATIONAL LINES (HK) LTD,KC3,2025/05/17 12:00,KAOHSIUNG
V7ZR2,STARSHIP URSA,CONTAINER,MARSHALL ISLANDS,NAMSUNG SHIPPING HONG KONG LIMITED,KC7,2025/05/17 12:00,HO CHI MINH CITY
BG3721,JIN HAE FA NO 26,FISHING,"TAIWAN, CHINA",ISM SHIPPING AGENT COMPANY,CSWFM,2025/05/17 12:30,KAOHSIUNG
3E2713,XINTIAN 30,"TANKER (CRUDE,FUEL,DIESEL,LUB)",PANAMA,MINDA SHIPPING (HONG KONG) LIMITED,SLA,2025/05/17 13:00,KUANTAN
9V3760,WAN HAI 521,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,KC13,2025/05/17 13:00,"SHEKOU, SHENZHEN"
D7VX,ROSE MANN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,REPUBLIC OF KOREA,OCEAN BASE CO LTD,SELA,2025/05/17 14:30,"FANGCHENG, GX"
3E4695,CRUX TWIN,GENERAL / HEAVY LIFT CARGO,PANAMA,IGOR SHIPPING AGENCIES LTD,A29,2025/05/17 15:00,HAIPHONG
BTJE3,ZHUN XING 7,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,MINDA SHIPPING (HONG KONG) LIMITED,SWLA,2025/05/17 15:00,"OTHER, CHINA (COAST)"
C4NK2,PUSAN C,CONTAINER,CYPRUS,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,KC2,2025/05/17 16:00,"YANTIAN, GD"
5LMI6,XIANG TAI KOU,GENERAL / HEAVY LIFT CARGO,LIBERIA,PENAVICO (HONG KONG) LIMITED,E,2025/05/17 16:00,KAOHSIUNG
9V8396,FOREVER DELIGHT,CHEMICAL,SINGAPORE,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,PAFF,2025/05/17 18:00,SINGAPORE
S9Z8,HOANG TRIEU 39,GENERAL / HEAVY LIFT CARGO,SAO TOME & PRINCIPE,EVER WIN INTERNATIONAL SHIPPING CO. LIMITED,TMECO,2025/05/17 18:00,KAOHSIUNG
XVEQ7,HAIAN LINK,CONTAINER,VIETNAM,MEGATOP AGENCY LIMITED,KC10,2025/05/17 18:00,"NANSHA, PANYU"
VRJT3,BULK HARVEST,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA",SK SHIPPING LIMITED,SELA,2025/05/17 18:00,PORT HEDLAND
VRCX3,BELAWAN,CONTAINER,"HONG KONG, CHINA",KMTC (HK) CO LIMITED,KC,2025/05/17 18:30,"SHANGHAI, SH"
5LLY5,MSC VIVIENNE,CONTAINER,LIBERIA,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,KC5,2025/05/17 19:30,"NINGBO, ZJ"
D5IN6,ATACAMA,CONTAINER,LIBERIA,PENAVICO (HONG KONG) LIMITED,KC18,2025/05/17 21:30,"SHANGHAI, SH"
V7HX6,PANAGIOTIS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,SGS HONG KONG LIMITED,SELA,2025/05/17 22:00,"JIANGYIN, JS"
D7GH,HEUNG- A YOUNG,CONTAINER,REPUBLIC OF KOREA,KONG HING AGENCY LTD,,2025/05/17 22:30,HAIPHONG
5LCT7,EVER COMMAND,CONTAINER,LIBERIA,EVERGREEN MARINE (HONG KONG) LTD,KC9,2025/05/17 23:00,"SHEKOU, SHENZHEN"
5LID5,MSC MAKALU III,CONTAINER,LIBERIA,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,S,2025/05/17 23:00,"SHEKOU, SHENZHEN"
A8SN4,ANL OTAGO,CONTAINER,LIBERIA,CMA CGM (HONG KONG) LIMITED,KC10,2025/05/17 23:00,KEELUNG
9V5904,ALS VESTA,CONTAINER,SINGAPORE,OOCL HONG KONG BRANCH,,2025/05/17 23:00,"SHEKOU, SHENZHEN"
A8ZM3,FPMC B 106,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,"UNITRANS AGENCY HONG KONG CO., LIMITED",,2025/05/17 23:00,OPEN SEA
9V7583,WAN HAI 517,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,WA,2025/05/17 23:00,"SHEKOU, SHENZHEN"
V7A2844,STAR EXPLORER,CONTAINER,MARSHALL ISLANDS,NAMSUNG SHIPPING HONG KONG LIMITED,,2025/05/17 23:00,BUSAN
3ECW5,HE YUAN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,SGS HONG KONG LIMITED,,2025/05/17 23:00,"OTHER, INDONESIA"
BKLK,EVER BEAMY,CONTAINER,"TAIWAN, CHINA",EVERGREEN MARINE (HONG KONG) LTD,PT,2025/05/17 23:00,"SHEKOU, SHENZHEN"
3E6714,FORTUNE PROGRESS,GENERAL / HEAVY LIFT CARGO,PANAMA,CGW LOGISTICS CO LIMITED,W,2025/05/17 23:00,NINGDE
A8HX2,YM INCEPTION,CONTAINER,LIBERIA,YANG MING LINE (HONG KONG) LTD,,2025/05/17 23:59,LAEM CHABANG
D5WQ8,YM CREDENTIAL,CONTAINER,LIBERIA,YANG MING LINE (HONG KONG) LTD,KC9,2025/05/17 23:59,"SHEKOU, SHENZHEN"
5LGC2,OCEAN FLEET,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,SK SHIPPING LIMITED,,2025/05/18 00:00,PENANG ISLAND
BPXB8,HONG DA 27,CHEMICAL,CHINA,CGW LOGISTICS CO LIMITED,,2025/05/18 01:00,GUANGZHOU
3E6905,FUNENG 1,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,CGW LOGISTICS CO LIMITED,,2025/05/18 02:00,"OTHER, VIETNAM"
9V7384,WAN HAI 355,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,,2025/05/18 02:00,"NANSHA, PANYU"
3E7617,CHANG SHUN JING HAI ,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,SK SHIPPING LIMITED,,2025/05/18 05:00,"OTHER, INDONESIA"
9V5307,INTERASIA ADVANCE,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,,2025/05/18 06:00,"SHEKOU, SHENZHEN"
3E7638,HONG DA XIN 758,CONTAINER,PANAMA,CONCORD MARINE LIMITED,,2025/05/18 06:00,"NINGBO, ZJ"
VRCC6,XIN SHANGHAI,CONTAINER,"HONG KONG, CHINA",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,,2025/05/18 06:00,"SHANGHAI, SH"
3EKU2,GLORIOUS PEONY,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,,2025/05/18 08:16,"OTHER, JAPAN"
9V8400,TOCHO,CAR CARRIER,SINGAPORE,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,S,2025/05/18 08:25,HAKATA
3ECL8,ASIAN EXPLORER,RORO/REEFER CARRIER,PANAMA,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,,2025/05/18 08:26,"HUANGPU, GD"
BG3669,JIN SHUN LI,FISHING,"TAIWAN, CHINA",LOUNG SING FUNG,KTFM,2025/05/18 09:00,KAOHSIUNG
3E5349,MARINA PROSPERITY ,CHEMICAL,PANAMA,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,SLA,2025/05/18 09:29,TAIPEI
V7A5717,TS NANSHA,CONTAINER,MARSHALL ISLANDS,T.S. LINES LIMITED,WL,2025/05/18 10:24,"SHEKOU, SHENZHEN"
VRTD8,FOREVER BRILLIANCY,"TANKER (CRUDE,FUEL,DIESEL,LUB)","HONG KONG, CHINA",MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,MBA,2025/05/18 11:00,"NINGBO, ZJ"
9V9064,VAN HANNAH,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SINGAPORE,SK SHIPPING LIMITED,,2025/05/18 11:00,OPEN SEA
VREB4,CHEMITEC,"TANKER (CRUDE,FUEL,DIESEL,LUB)","HONG KONG, CHINA",GRANDFAME SHIP MANAGEMENT LTD,,2025/05/18 11:00,JIANGSU
VRON5,OLIVE BAY,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA",WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,PT,2025/05/18 11:36,OPEN SEA
T2SG5,KENYO,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,TUVALU,PROSPERITY STEAMSHIP CO LTD,PT,2025/05/18 12:00,"OTHER, VIETNAM"
C4GS2,AGIOS IOANNIS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CYPRUS,"UNITRANS AGENCY HONG KONG CO., LIMITED",E,2025/05/18 12:00,OPEN SEA
D7IG,QINGDAO TRADER,CONTAINER,REPUBLIC OF KOREA,SINOKOR HONGKONG CO LIMITED,,2025/05/18 12:00,"SHEKOU, SHENZHEN"
V7BT3,BRYANT,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,SHING FUNG SHIPPING AGENCY CO. LIMITED,,2025/05/18 12:00,MAOMING
V7A5513,SAWASDEE XIAMEN,CONTAINER,MARSHALL ISLANDS,SINOKOR HONGKONG CO LIMITED,W,2025/05/18 13:00,INCHEON
E6VG2,GLORY 3,TUG,NIUE,WINBO SHIPPING LTD,,2025/05/18 13:00,"SHANGHAI, SH"
3EEF9,EVER CROWN,CONTAINER,PANAMA,EVERGREEN MARINE (HONG KONG) LTD,S,2025/05/18 13:00,"SHEKOU, SHENZHEN"
D5WN3,JULIE,CONTAINER,LIBERIA,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,,2025/05/18 13:30,"YANTIAN, SHENZHEN"
BSIB2,ZHONG GU XIONG AN,CONTAINER,CHINA,T.S. LINES LIMITED,,2025/05/18 14:13,"SHEKOU, SHENZHEN"
D5DI2,MINOAN FLAME,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,SHK AGENCY LIMITED,,2025/05/18 15:19,"OTHER, INDONESIA"
FNXL,ECOMAR GUYENNE,CHEMICAL,FRANCE,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,,2025/05/18 15:37,SINGAPORE
9LU2470,TAI ZE XING 77,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SIERRA LEONE,E & M AGENCY LIMITED,,2025/05/18 16:00,"OTHER, VIETNAM"
D5CF6,GSL VINIA,CONTAINER,LIBERIA,SINOTRANS (HK) SHIPPING LTD,E,2025/05/18 16:00,"YANTIAN, GD"
ZCDU9,PIANO LAND,PASSENGER,BERMUDA,LEAGUER SHIPPING LIMITED,,2025/05/18 17:00,"OTHER, JAPAN"
9V8571,CNC JAWA,CONTAINER,SINGAPORE,CMA CGM ASIA SHIPPING PTE. LTD.,,2025/05/18 18:00,"SHEKOU, SHENZHEN"
