CALL_SIGN,VESSEL_NAME,SHIP_TYPE,ETA_TIME,FLAG,LAST_PORT,AGENT_NAME,PASI
VRHW6,IAL 001,CONTAINER,2025/05/10 06:30,"HONG KONG, CHINA","SHEKOU, SHENZHEN",HYALINE SHIPPING (HK) CO LTD,RCVD
D5IZ9,SPECTRUM N,CONTAINER,2025/05/10 06:30,LIBERIA,MANILA,OOCL HONG KONG BRANCH,RCVD
OXCQ2,SAN ANTONIO MAERSK,CONTAINER,2025/05/10 07:00,DENMARK,SINGAPORE,PENAVICO (HONG KONG) LIMITED,RCVD
V7A6462,ANAXAGORAS,CONTAINER,2025/05/10 07:00,MARSHALL ISLANDS,QINGDAO,TRANSIT AGENT,RCVD
BTWJ,SHE GANG 5 HAO,TUG,2025/05/10 07:30,CHINA,"SHEKOU, SHENZHEN",UNKNOWN AGENT,
VRCS5,XIN BEIJING,CONTAINER,2025/05/10 07:30,"HONG KONG, CHINA","SHEKOU, SHENZHEN",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,RCVD
9LU2780,YONG SHUN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/10 08:00,SIERRA LEONE,"OTHER, CHINA (COAST)","UNITRANS AGENCY HONG KONG CO., LIMITED",RCVD
9V8500,WAN HAI 333,CONTAINER,2025/05/10 08:00,SINGAPORE,"OTHER, VIETNAM",OOCL HONG KONG BRANCH,RCVD
FMPF,CMA CGM SORBONNE,LNG POWERED VESSEL(NON-TANKER),2025/05/10 08:00,FRANCE,"NINGBO, ZJ",CMA CGM (HONG KONG) LIMITED,RCVD
5LCM6,MSC TARA III,CONTAINER,2025/05/10 08:00,LIBERIA,DAVAO,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,RCVD
VRNW3,NEW PEACE,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/10 08:00,"HONG KONG, CHINA",ZHOUSHAN,WALLEM SHIPPING (HK) LTD,RCVD
V7A2845,STAR FRONTIER,CONTAINER,2025/05/10 08:00,MARSHALL ISLANDS,INCHEON,NAMSUNG SHIPPING HONG KONG LIMITED,RCVD
BPKC,XIN MEI ZHOU,CONTAINER,2025/05/10 08:00,CHINA,"XIAMEN, FJ",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,RCVD
3FCV7,DAMPIER MARU,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/10 08:00,PANAMA,"OTHER, AUSTRALIA",TAISHIP DEVELOPMENT LTD,RCVD
3FZM6,SEA OF LUCK,CONTAINER,2025/05/10 08:00,PANAMA,"SHEKOU, SHENZHEN",CMA CGM ASIA SHIPPING PTE. LTD.,RCVD
9V7835,KOTA CANTIK,CONTAINER,2025/05/10 08:00,SINGAPORE,"NANSHA, PANYU",PACIFIC INTERNATIONAL LINES (HK) LTD,RCVD
9V9750,YM INCREMENT,CONTAINER,2025/05/10 08:30,SINGAPORE,"SHEKOU, SHENZHEN",YANG MING LINE (HONG KONG) LTD,RCVD
ELXX8,SANTA CRUZ I,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/10 09:00,LIBERIA,SINGAPORE,VASTON SHIPPING AGENCY LIMITED,RCVD
9V7396,WAN HAI A01,CONTAINER,2025/05/10 09:00,SINGAPORE,"SHEKOU, SHENZHEN",HYALINE SHIPPING (HK) CO LTD,RCVD
BHJG,EVER ARM,CONTAINER,2025/05/10 09:00,"TAIWAN, CHINA","YANTIAN, SHENZHEN",EVERGREEN MARINE (HONG KONG) LTD,RCVD
9V8604,MAERSK KEELUNG ,CONTAINER,2025/05/10 09:00,SINGAPORE,CEBU,PENAVICO (HONG KONG) LIMITED,RCVD
5BNY6,MSC NEW JERSEY III,CONTAINER,2025/05/10 09:30,CYPRUS,"SHEKOU, SHENZHEN",MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,RCVD
9HA6212,KUO LIN,CONTAINER,2025/05/10 09:30,MALTA,"SHEKOU, SHENZHEN",CMA CGM ASIA SHIPPING PTE. LTD.,RCVD
9VJJ8,WAN HAI 510,CONTAINER,2025/05/10 09:30,SINGAPORE,"SHEKOU, SHENZHEN",HYALINE SHIPPING (HK) CO LTD,RCVD
9HA4991,ANL WANGARATTA,CONTAINER,2025/05/10 10:00,MALTA,"NANSHA, PANYU",CMA CGM ASIA SHIPPING PTE. LTD.,RCVD
3E6776,LONG SHENG 16,GENERAL / HEAVY LIFT CARGO,2025/05/10 10:00,PANAMA,"BEIHAI, SHACHENG, GX",EAST HARBOUR NAVIGATION CO LTD,RCVD
VRWJ6,JIAN YANG HUA HAI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/10 10:00,"HONG KONG, CHINA","OTHER, VIETNAM",CGW LOGISTICS CO LIMITED,RCVD
