CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,AGENT_NAME,CURRENT_LOCATION,ETD_TIME,NEXT_PORT
3E8732,HUI FENG HAI 17,GENERAL / HEAVY LIFT CARGO,PANAMA,CGW LOGISTICS CO LIMITED,SWLA,2025/05/13 08:00,BATAM
9HA5092,AFRA ROSSI,"TANKER (CRUDE,FUEL,DIESEL,LUB)",MALTA,VASTON SHIPPING AGENCY LIMITED,SINO,2025/05/13 08:00,SINGAPORE
VRMV2,YUEHAI STAR,CHEMICAL,"HONG KONG, CHINA",CGW LOGISTICS CO LIMITED,SLA,2025/05/13 08:00,"JIANGYIN, JS"
VRBK8,OSG BOSSTEC,CONTAINER,"HONG KONG, CHINA","UNITRANS AGENCY HONG KONG CO., LIMITED",FL,2025/05/13 08:00,OPEN SEA
D5WB7,MANET,CONTAINER,LIBERIA,OOCL HONG KONG BRANCH,LKTPBS,2025/05/13 09:00,"SHEKOU, SHENZHEN"
3E2735,XIN YUAN 237,CONTAINER,PANAMA,OCEAN BASE CO LTD,CC,2025/05/13 09:52,"DONGGUAN, GD"
3E5137,CHUNRONG 803,GENERAL / HEAVY LIFT CARGO,PANAMA,CGW LOGISTICS CO LIMITED,SWLA,2025/05/13 11:00,"YANGJIANG, GD"
5BCK2,MEGALOHARI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CYPRUS,"UNITRANS AGENCY HONG KONG CO., LIMITED",SELA,2025/05/13 11:00,OPEN SEA
VRWI3,OOCL BAUHINIA,CONTAINER,"HONG KONG, CHINA",OOCL HONG KONG BRANCH,KC14,2025/05/13 12:00,"YANTIAN, SHENZHEN"
V7A2845,STAR FRONTIER,CONTAINER,MARSHALL ISLANDS,NAMSUNG SHIPPING HONG KONG LIMITED,,2025/05/13 12:00,HAIPHONG
V7A2844,STAR EXPLORER,CONTAINER,MARSHALL ISLANDS,NAMSUNG SHIPPING HONG KONG LIMITED,KC10,2025/05/13 13:00,HAIPHONG
9HA5502,CMA CGM DIGNITY,CONTAINER,MALTA,CMA CGM (HONG KONG) LIMITED,S,2025/05/13 13:00,"NINGBO, ZJ"
D7IG,QINGDAO TRADER,CONTAINER,REPUBLIC OF KOREA,SINOKOR HONGKONG CO LIMITED,WL,2025/05/13 14:00,HAIPHONG
9LU2481,LIAN YUN 9,GENERAL / HEAVY LIFT CARGO,SIERRA LEONE,BRIGHT CAPITAL SHIPPING CO LIMITED,S,2025/05/13 16:00,"QUANZHOU, FJ"
D5JM4,IVESTOS II,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,OCEANUS MARITIME COMPANY LIMITED,SWLA,2025/05/13 16:00,SINGAPORE
D7VN,KMTC COLOMBO,CONTAINER,REPUBLIC OF KOREA,KMTC (HK) CO LIMITED,KC8,2025/05/13 17:00,QINGDAO
3E2004,BO YANG TUO ZHAN,GENERAL / HEAVY LIFT CARGO,PANAMA,MINDA SHIPPING (HONG KONG) LIMITED,,2025/05/13 17:00,DUNG QUAT
9V6494,WAN HAI 325,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,KC6,2025/05/13 18:00,KAOHSIUNG
V7A6216,TS HAKATA,CONTAINER,MARSHALL ISLANDS,T.S. LINES LIMITED,KC10,2025/05/13 18:00,NAN SHA
VRRH2,FOREVER GLORY,"TANKER (CRUDE,FUEL,DIESEL,LUB)","HONG KONG, CHINA",MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,PAFF,2025/05/13 18:00,SINGAPORE
S6ST,KOTA RATU,CONTAINER,SINGAPORE,PACIFIC INTERNATIONAL LINES (HK) LTD,PT,2025/05/13 18:00,"HUANGPU, GD"
9VFL3,ACX DIAMOND,CONTAINER,SINGAPORE,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,KC5,2025/05/13 21:00,PORT KELANG
VRUN6,ONE PARANA,CONTAINER,"HONG KONG, CHINA",OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,KC2,2025/05/13 21:00,SINGAPORE
BPAR,XIN QING DAO,CONTAINER,CHINA,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,S,2025/05/13 21:30,"XIAMEN, FJ"
5LES7,EVER ORIGIN,CONTAINER,LIBERIA,EVERGREEN MARINE (HONG KONG) LTD,S,2025/05/13 23:00,"SHEKOU, SHENZHEN"
D7DX,HEUNG-A HOCHIMINH,CONTAINER,REPUBLIC OF KOREA,KONG HING AGENCY LTD,PT,2025/05/13 23:00,INCHEON
3E7671,FU LONG SHENG,GENERAL / HEAVY LIFT CARGO,PANAMA,CONCORD MARINE LIMITED,E,2025/05/13 23:00,BINTULU
BOCJ,BAI AN HAI,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,PENAVICO (HONG KONG) LIMITED,,2025/05/13 23:00,PORT HEDLAND
9V7978,EVER FUTURE,CONTAINER,SINGAPORE,EVERGREEN MARINE (HONG KONG) LTD,S,2025/05/13 23:00,"SHANGHAI, SH"
BLHP,YM IMMENSE,CONTAINER,"TAIWAN, CHINA",YANG MING LINE (HONG KONG) LTD,KC7,2025/05/13 23:59,KAOHSIUNG
V7A5992,SAWASDEE CAPELLA,CONTAINER,MARSHALL ISLANDS,SINOKOR HONGKONG CO LIMITED,,2025/05/14 00:30,SAIGON
9V8143,OCEAN FEATHER,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SINGAPORE,PENAVICO (HONG KONG) LIMITED,,2025/05/14 02:00,"OTHER, PHILIPPINES"
3E6682,CHANG SHENG JI 7,GENERAL / HEAVY LIFT CARGO,PANAMA,CONCORD MARINE LIMITED,W,2025/05/14 04:00,KAOHSIUNG
C4GS2,AGIOS IOANNIS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CYPRUS,GRANDFAME SHIP MANAGEMENT LTD,,2025/05/14 05:00,SAMARINDA
H3GB,JINYUNHE,CONTAINER,PANAMA,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,,2025/05/14 07:30,"XIAMEN, FJ"
V7A7429,ONSAN CHEMI ,"TANKER (CRUDE,FUEL,DIESEL,LUB)",MARSHALL ISLANDS,GULF AGENCY CO (HK) LTD,,2025/05/14 08:00,LABUAN
VROS2,MILD TUNE,CONTAINER,"HONG KONG, CHINA",OCEANLINKS MARINE LIMITED,W,2025/05/14 17:19,"SHANGHAI, SH"
