CALL_SIGN,AGENT_NAME,VESSEL_NAME,VESSEL_MAX_DRAFT,WEATHER_IMPACT_PCT,CONGESTION_IMPACT_PCT,EFFECTIVENESS_SCORE,RELIABILITY_SCORE,WORK_ENV_SCORE,BERTH
QA10000,ZIM INTEGRATED SHIPPING AGENCIES (HK) LIMITED,ZIM THAILAND,14.1,0.23,0.24,0.379,0.546,0.695,KC4
HF10001,HYALINE SHIPPING (HK) CO LTD,WAN HAI 325,11.1,0.22,0.29,0.518,0.722,0.829,CSWFM
TR10002,YANG MING LINE (HONG KONG) LTD,HORAI BRIDGE,8.2,0.21,0.31,0.456,0.55,0.91,KC9
XC10003,REGIONAL CONTAINER LINES (HK) LTD,URU BHUM,10.0,0.25,0.26,0.865,0.488,0.416,KC19
KA10004,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,XIN DAN DONG,8.8,0.17,0.33,0.497,0.636,0.593,KC9
FN10005,CGW LOGISTICS CO LIMITED,CHUNRONG 803,5.0,0.28,0.24,0.415,0.963,0.32,WA3
AF10006,NS UNITED SHIPPING (HK) CO LIMITED,ASIAN ISLAND,6.29,0.21,0.29,0.606,0.716,0.652,CMTY
QO10007,GULF AGENCY CO (HK) LTD,SILVER JOAN,9.5,0.25,0.24,0.317,0.411,1.0,KC5
FP10008,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,ONE AMAZON,13.2,0.24,0.25,0.64,0.584,0.637,KC2
VA10009,EVERGREEN MARINE (HONG KONG) LTD,EVER WIN,8.2,0.15,0.39,1.0,0.772,0.44,SHELL
US10010,T.S. LINES LIMITED,TS SURABAYA,7.7,0.28,0.16,0.83,0.515,0.531,SHELL
IE10011,CGW LOGISTICS CO LIMITED,LAN HAI FANG ZHOU,6.2,0.13,0.42,0.415,0.963,0.32,KC8
YI10012,ZIM INTEGRATED SHIPPING AGENCIES (HK) LIMITED,ZIM THAILAND,14.1,0.23,0.24,0.379,0.546,0.695,CSWFM
CC10013,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,CSCL ASIA,9.8,0.15,0.37,0.497,0.636,0.593,KC5
WP10014,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,ONE PARANA,14.6,0.22,0.26,0.64,0.584,0.637,KC2
US10015,HMM (HONG KONG) LIMITED,HYUNDAI PREMIUM,12.1,0.13,0.4,0.809,0.845,0.585,SHELL
NZ10016,CMA CGM (HONG KONG) LIMITED,CMA CGM DIGNITY,13.3,0.24,0.24,0.748,0.429,0.612,SLA
JO10017,PENAVICO (HONG KONG) LIMITED,ZHONG GU DONG HAI,6.6,0.36,0.18,1.0,0.482,0.977,KC11
VQ10018,SGS HONG KONG LIMITED,GUANG MAO,7.1,0.23,0.25,0.653,0.836,0.681,SELA
WP10019,SGS HONG KONG LIMITED,HUI YUAN,7.3,0.24,0.25,0.653,0.836,0.681,KC5
SB10020,CMA CGM (HONG KONG) LIMITED,ANL WAIKATO ,10.7,0.23,0.27,0.748,0.429,0.612,KC8
FH10021,EVERGREEN MARINE (HONG KONG) LTD,EVER CROWN,6.45,0.24,0.21,1.0,0.772,0.44,CSWFM
CG10022,EVERGREEN MARINE (HONG KONG) LTD,MTT PELEPAS,8.5,0.19,0.34,1.0,0.772,0.44,KC5
CH10023,EVERGREEN MARINE (HONG KONG) LTD,GREEN CLARITY,9.0,0.0,0.0,1.0,0.772,0.44,KC10
QJ10024,CMA CGM ASIA SHIPPING PTE. LTD.,CNC PUMA,9.02,0.17,0.32,0.714,0.643,0.881,KC13
JF10025,CMA CGM ASIA SHIPPING PTE. LTD.,CNC PUMA,9.02,0.17,0.32,0.714,0.643,0.881,CMTY
GY10026,SGS HONG KONG LIMITED,HUI YUAN,7.3,0.24,0.25,0.653,0.836,0.681,CSWFM
QP10027,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,XIN DAN DONG,8.8,0.17,0.33,0.497,0.636,0.593,SHELL
ES10028,YANG MING LINE (HONG KONG) LTD,YM IMMENSE,8.4,0.24,0.26,0.456,0.55,0.91,KC
EJ10029,SHK AGENCY LIMITED,OCEANIC STAR,9.0,0.23,0.24,0.347,0.603,0.659,KC8
ZQ10030,VEROSA AGENCY LIMITED,APOLLO FIRST,8.31,0.11,0.45,0.677,0.604,0.279,CSWFM
OR10031,CGW LOGISTICS CO LIMITED,SEA MAPLE,7.5,0.17,0.37,0.415,0.963,0.32,KC9
VU10032,MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,FOREVER GLORY,11.9,0.2,0.32,0.742,0.833,0.443,KC5
FA10033,REGIONAL CONTAINER LINES (HK) LTD,URU BHUM,10.0,0.25,0.26,0.865,0.488,0.416,CMTY
IG10034,KMTC (HK) CO LIMITED,KMTC BANGKOK,10.25,0.18,0.31,0.607,0.554,0.216,WA3
FY10035,T.S. LINES LIMITED,TS GUANGZHOU,8.8,0.0,0.0,0.83,0.515,0.531,KC
WI10036,INCHCAPE SHIPPING SERVICES (HK) LTD,SHOKAI ,6.9,0.18,0.31,0.588,0.234,0.66,CMTY
RK10037,HMM (HONG KONG) LIMITED,HYUNDAI PREMIUM,12.1,0.13,0.4,0.809,0.845,0.585,CMTY
XL10038,EVERGREEN MARINE (HONG KONG) LTD,EVER CROWN,6.45,0.24,0.21,1.0,0.772,0.44,KC14
GG10039,EVERGREEN MARINE (HONG KONG) LTD,EVER BASIS,10.1,0.22,0.25,1.0,0.772,0.44,KC4
OG10040,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,XIN DAN DONG,8.8,0.17,0.33,0.497,0.636,0.593,SHELL
PX10041,"UNITRANS AGENCY HONG KONG CO., LIMITED",DS EXPRESS 178,6.9,0.26,0.2,0.355,0.813,0.562,CSWFM
KF10042,P. M. S. HONG KONG LIMITED,HONG RUN 6,7.1,0.22,0.3,0.697,0.946,0.356,KC16
ZN10043,WALLEM SHIPPING (HK) LTD,MARINA ARUNG,7.2,0.22,0.3,0.993,0.722,0.758,CSWFM
CB10044,NS UNITED SHIPPING (HK) CO LIMITED,ASIAN ISLAND,6.29,0.21,0.29,0.606,0.716,0.652,KC3
CQ10045,CMA CGM ASIA SHIPPING PTE. LTD.,CNC PUMA,9.02,0.17,0.32,0.714,0.643,0.881,SLA
UK10046,HYALINE SHIPPING (HK) CO LTD,WAN HAI 326,9.7,0.16,0.31,0.518,0.722,0.829,KC2
BJ10047,HYALINE SHIPPING (HK) CO LTD,WAN HAI 353,10.6,0.29,0.15,0.518,0.722,0.829,KC8
ZN10048,WALLEM SHIPPING (HK) LTD,SEACON OSLO,13.9,0.14,0.34,0.993,0.722,0.758,KC
ZW10049,EVERGREEN MARINE (HONG KONG) LTD,EVER BASIS,10.1,0.22,0.25,1.0,0.772,0.44,CSWFM
AS10050,"UNITRANS AGENCY HONG KONG CO., LIMITED",OSG BOSSTEC,6.8,0.29,0.16,0.355,0.813,0.562,KC19
RN10051,EVERGREEN MARINE (HONG KONG) LTD,EVER BASIS,10.1,0.22,0.25,1.0,0.772,0.44,TMECO
GQ10052,CMA CGM (HONG KONG) LIMITED,CMA CGM DIGNITY,13.3,0.24,0.24,0.748,0.429,0.612,KC8
CL10053,CGW LOGISTICS CO LIMITED,SEA MAPLE,7.5,0.17,0.37,0.415,0.963,0.32,KC7
LY10054,GULF AGENCY CO (HK) LTD,BERGE HENG SHAN,8.67,0.23,0.28,0.317,0.411,1.0,KC3
WG10055,CONCORD MARINE LIMITED,FU LONG SHENG,7.6,0.0,0.0,1.0,0.721,0.614,KC
NE10056,OCEAN BASE CO LTD,SUNFLYTE,9.0,0.21,0.26,0.58,0.668,0.62,SHELL
XW10057,EVERGREEN MARINE (HONG KONG) LTD,EVER ORDER,11.6,0.17,0.31,1.0,0.772,0.44,KC13
HQ10058,T.S. LINES LIMITED,TS SURABAYA,7.7,0.28,0.16,0.83,0.515,0.531,KC12
PD10059,KMTC (HK) CO LIMITED,KMTC GWANGYANG,9.4,0.3,0.17,0.607,0.554,0.216,KC
