CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,AGENT_NAME,ATD_TIME,BERTH,NEXT_PORT
D5WB6,IVESTOS 3,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,"UNITRANS AGENCY HONG KONG CO., LIMITED",2025/05/08 18:24,SELA,OPEN SEA
3E2163,MINH ANH 09,GENERAL / HEAVY LIFT CARGO,PANAMA,EVER WIN INTERNATIONAL SHIPPING CO. LIMITED,2025/05/08 18:35,WA1,HAIPHONG
C6YY8,OPTIMA,CONTAINER,BAHAMAS,SINOTRANS (HK) SHIPPING LTD,2025/05/08 19:54,SELA,"SHEKOU, SHENZHEN"
9V7835,KOTA CANTIK,CONTAINER,SINGAPORE,PACIFIC INTERNATIONAL LINES (HK) LTD,2025/05/08 20:31,SELA,NAN SHA
3E2051,TIAN EN 6,GENERAL / HEAVY LIFT CARGO,PANAMA,"UNITRANS AGENCY HONG KONG CO., LIMITED",2025/05/08 21:41,SELA,OPEN SEA
VRML8,COSCO ENGLAND,CONTAINER,"HONG KONG, CHINA",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,2025/05/08 22:02,KC14,"SHANGHAI, SH"
VRVE9,SITC MINHE,CONTAINER,"HONG KONG, CHINA",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,2025/05/08 22:03,KC3,HAIPHONG
3E7176,CHANG XIA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,EVER WIN INTERNATIONAL SHIPPING CO. LIMITED,2025/05/08 22:12,SELA,"OTHER, THAILAND"
A8IF2,MONACO,CONTAINER,LIBERIA,SINOTRANS (HK) SHIPPING LTD,2025/05/08 22:30,KC17,BRISBANE
3E3567,TOYO SHINE,GENERAL / HEAVY LIFT CARGO,PANAMA,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,2025/05/08 22:32,SWLA,OPEN SEA
VRNO2,GREAT TRIUMPH,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,"HONG KONG, CHINA","UNITRANS AGENCY HONG KONG CO., LIMITED",2025/05/08 22:40,SWLA,OPEN SEA
9HA6212,KUO LIN,CONTAINER,MALTA,CMA CGM ASIA SHIPPING PTE. LTD.,2025/05/08 23:28,KC10,"SHEKOU, SHENZHEN"
