CALL_SIGN,VESSEL_NAME,SHIP_TYPE,ETA_TIME,FLAG,LAST_PORT,AGENT_NAME,PASI
8519,CHI GANG TUO 9,TUG,2025/05/11 06:10,CHINA,"NANSHAN, SHENZHEN",UNKNOWN AGENT,
VRVG2,SITC SHUNDE,CONTAINER,2025/05/11 06:30,"HONG KONG, CHINA","SHEKOU, SHENZHEN",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,RCVD
3E7593,TONGYUN12,GENERAL / HEAVY LIFT CARGO,2025/05/11 06:30,PANAMA,DUNG QUAT,CGW LOGISTICS CO LIMITED,RCVD
VROF8,SITC SHANGHAI,CONTAINER,2025/05/11 06:30,"HONG KONG, CHINA","SHEKOU, SHENZHEN",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,RCVD
3E2779,DE LONG,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,2025/05/11 07:00,PANAMA,"DONGGUAN, GD",TEXCO MARINE AGENCY LIMITED,RCVD
9M3120,MTT PELEPAS,CONTAINER,2025/05/11 07:00,MALAYSIA,"NINGBO, ZJ",EVERGREEN MARINE (HONG KONG) LTD,RCVD
D7KO,HEUNG-A SARAH,CONTAINER,2025/05/11 07:00,REPUBLIC OF KOREA,INCHEON,KONG HING AGENCY LTD,RCVD
BTWJ,SHE GANG 5 HAO,TUG,2025/05/11 07:30,CHINA,"SHEKOU, SHENZHEN",UNKNOWN AGENT,
V7A7436,TS JOHOR,CONTAINER,2025/05/11 07:30,MARSHALL ISLANDS,"SHEKOU, SHENZHEN",T.S. LINES LIMITED,RCVD
3E7175,LAN HAI FANG ZHOU,GENERAL / HEAVY LIFT CARGO,2025/05/11 08:00,PANAMA,"OTHER, VIETNAM",CGW LOGISTICS CO LIMITED,RCVD
HOKL,EARNEST CRANE,GENERAL / HEAVY LIFT CARGO,2025/05/11 08:00,PANAMA,SUBIC BAY,CERTAIN EXPRESS INTERNATIONAL LIMITED,RCVD
VRFU9,OOCL WASHINGTON,CONTAINER,2025/05/11 08:00,"HONG KONG, CHINA","NINGBO, ZJ",COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,RCVD
HOJG,AN HAI STAR,GENERAL / HEAVY LIFT CARGO,2025/05/11 08:00,PANAMA,HAIPHONG,OCEAN BASE CO LTD,
V7A5921,TS SHEKOU,CONTAINER,2025/05/11 08:30,MARSHALL ISLANDS,"SHEKOU, SHENZHEN",T.S. LINES LIMITED,RCVD
V7DC5,TS OSAKA,CONTAINER,2025/05/11 08:30,MARSHALL ISLANDS,"QINZHOU, GX",T.S. LINES LIMITED,RCVD
5LID5,MSC MAKALU III,CONTAINER,2025/05/11 09:00,LIBERIA,"QINZHOU, GX",MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,RCVD
VREU8,SC LIAONING,"TANKER (CRUDE,FUEL,DIESEL,LUB)",2025/05/11 09:00,"HONG KONG, CHINA",DAESAN,GULF AGENCY CO (HK) LTD,RCVD
D5ML2,KMTC BANGKOK,CONTAINER,2025/05/11 09:00,LIBERIA,PUSAN,KMTC (HK) CO LIMITED,RCVD
9V9129,INTERASIA TRANSFORM,CONTAINER,2025/05/11 09:30,SINGAPORE,"SHEKOU, SHENZHEN",HYALINE SHIPPING (HK) CO LTD,RCVD
BOQI4,XIN AO PU TUO HAO,LIQUIFIED NATURAL GAS TANKER,2025/05/11 09:30,CHINA,"SHENZHEN, GD",TRANSIT AGENT,RCVD
9V8604,MAERSK KEELUNG ,CONTAINER,2025/05/11 09:30,SINGAPORE,"YANTIAN, SHENZHEN",PENAVICO (HONG KONG) LIMITED,RCVD
3WYN7,GREEN PACIFIC,CONTAINER,2025/05/11 10:00,VIETNAM,"NANSHA, PANYU",SITC SHIPPING AGENCY (HK) COMPANY LIMITED,RCVD
VRFT7,DAPENG STAR,LIQUIFIED NATURAL GAS TANKER,2025/05/11 10:00,"HONG KONG, CHINA","DAMPIER, AUSTRALIA",TRANSIT AGENT,RCVD
A8KS9,YM IMPROVEMENT,CONTAINER,2025/05/11 10:00,LIBERIA,KAOHSIUNG,YANG MING LINE (HONG KONG) LTD,RCVD
VRNQ5,SITC FUJIAN,CONTAINER,2025/05/11 10:00,"HONG KONG, CHINA",HO CHI MINH CITY,SITC SHIPPING AGENCY (HK) COMPANY LIMITED,RCVD
FMPF,CMA CGM SORBONNE,LNG POWERED VESSEL(NON-TANKER),2025/05/11 10:00,FRANCE,"YANTIAN, GD",CMA CGM (HONG KONG) LIMITED,RCVD
VRTV9,EVER OCEAN,CONTAINER,2025/05/11 11:00,"HONG KONG, CHINA",KUANTAN,EVERGREEN MARINE (HONG KONG) LTD,RCVD
9V7801,EVER WEB,CONTAINER,2025/05/11 11:00,SINGAPORE,LAEM CHABANG,EVERGREEN MARINE (HONG KONG) LTD,RCVD
CQIU6,AS COLUMBIA,CONTAINER,2025/05/11 11:00,PORTUGAL,"NANSHA, PANYU",SINOTRANS (HK) SHIPPING LTD,RCVD
9V6516,WAN HAI 295,CONTAINER,2025/05/11 11:30,SINGAPORE,"SHEKOU, SHENZHEN",HYALINE SHIPPING (HK) CO LTD,RCVD
D5TL3,MSC JOSSELINE,CONTAINER,2025/05/11 12:00,LIBERIA,"NINGBO, ZJ",MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,RCVD
