report_type,xml_link
Due To Enter Hong Kong Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day0/RP04005.XML
Intend To Depart Hong Kong Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day0/RP04505.XML
Enter Hong Kong Water Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day0/RP05005.XML
Depart Hong Kong Water Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day0/RP05505.XML
Due To Enter Hong Kong Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day1/RP04005.XML
Intend To Depart Hong Kong Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day1/RP04505.XML
Enter Hong Kong Water Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day1/RP05005.XML
Depart Hong Kong Water Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day1/RP05505.XML
Due To Enter Hong Kong Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day2/RP04005.XML
Intend To Depart Hong Kong Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day2/RP04505.XML
Enter Hong Kong Water Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day2/RP05005.XML
Depart Hong Kong Water Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day2/RP05505.XML
Due To Enter Hong Kong Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day3/RP04005.XML
Intend To Depart Hong Kong Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day3/RP04505.XML
Enter Hong Kong Water Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day3/RP05005.XML
Depart Hong Kong Water Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day3/RP05505.XML
Due To Enter Hong Kong Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day4/RP04005.XML
Intend To Depart Hong Kong Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day4/RP04505.XML
Enter Hong Kong Water Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day4/RP05005.XML
Depart Hong Kong Water Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day4/RP05505.XML
Due To Enter Hong Kong Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day5/RP04005.XML
Intend To Depart Hong Kong Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day5/RP04505.XML
Enter Hong Kong Water Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day5/RP05005.XML
Depart Hong Kong Water Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day5/RP05505.XML
Due To Enter Hong Kong Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day6/RP04005.XML
Intend To Depart Hong Kong Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day6/RP04505.XML
Enter Hong Kong Water Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day6/RP05005.XML
Depart Hong Kong Water Report,https://www.mardep.gov.hk/e_files/en/pub_services/report_day6/RP05505.XML
